#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	  139161	   93135	    2637	   77.10	   86.80	   88.82	  115.20	   72.26	 9119.20	1.0e-26
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   16204	   52530	    1486	   80.15	   91.52	   87.57	  109.26	   17.16	19198.84	1.0e-26
CARD|AFK13828.1 ramA [Enterobacter cloacae]	    8121	   13251	     375	   81.87	   93.33	   87.71	  107.14	   34.02	 1231.75	1.0e-26
CARD|ANZ79241.1 tetB(60) [uncultured bacterium]	   10541	   61519	    1740	   85.40	   97.24	   87.83	  102.84	    9.11	36064.19	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	  134579	   54441	    1542	   85.08	   87.09	   97.69	  114.82	   90.89	33975.57	1.0e-26
CARD|BAJ09383.1 qacA [Staphylococcus aureus]	    7670	   54622	    1545	   93.53	   94.24	   99.24	  106.11	    5.03	35390.21	1.0e-26
CARD|ACI32877.1 dfrA14 [Escherichia coli]	  144690	   17043	     483	   99.79	  100.00	   99.79	  100.00	  301.85	100743.10	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  182469	   53953	    1529	   80.71	   93.20	   86.60	  107.30	  208.38	69858.60	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	 2330422	   44346	    1287	  100.00	  100.00	  100.00	  100.00	 1816.11	2200695.57	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	 3372336	   31054	     912	  100.00	  100.00	  100.00	  100.00	 3709.08	3280305.22	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 4177736	   98060	    2904	   96.45	  100.03	   96.42	   99.97	 1612.00	3892551.28	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 6968604	   95659	    2926	   90.87	   99.86	   91.00	  100.14	 3166.18	6686807.25	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	 3365113	   35145	    1032	   99.90	  100.00	   99.90	  100.00	 3281.24	3261129.91	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  223019	   60953	    1728	   91.15	  100.00	   91.15	  100.00	  166.20	92492.04	1.0e-26
CARD|AAO04716.1 dfrC [Staphylococcus epidermidis ATCC 12228]	    1836	   17176	     486	   98.97	  100.00	   98.97	  100.00	    3.93	12377.56	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	 1871047	   16826	     486	  100.00	  100.00	  100.00	  100.00	 3861.04	1821166.27	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	  133936	  111282	    3150	   76.29	   88.60	   86.10	  112.86	   69.40	 2092.81	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  565272	   53693	    1528	   74.02	   84.82	   87.27	  117.90	  530.82	422822.88	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	  944853	   17419	     498	  100.00	  100.00	  100.00	  100.00	 1903.10	893854.76	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 9541496	   92062	    2904	   87.16	   96.42	   90.39	  103.71	 4241.41	9268828.15	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   89321	   49166	    1392	   77.80	   89.58	   86.85	  111.63	   99.53	11642.64	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	 1928660	   53376	    1542	   97.08	  100.00	   97.08	  100.00	 1414.54	1774280.23	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	 2742050	   27262	     795	  100.00	  100.00	  100.00	  100.00	 3460.18	2661336.59	1.0e-26
CARD|AAM61952.1 TEM-104 [Klebsiella pneumoniae]	   87505	   30405	     861	   94.19	   94.19	  100.00	  106.17	  101.88	27650.81	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	 2582051	   28548	     831	  100.00	  100.00	  100.00	  100.00	 3115.60	2497654.62	1.0e-26
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	  307619	   43338	    1230	   94.96	   99.92	   95.04	  100.08	  292.53	199009.88	1.0e-26
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	  961792	   19200	     549	   99.64	  100.00	   99.64	  100.00	 1774.70	905693.30	1.0e-26
CARD|ANZ79240.1 tetA(60) [uncultured bacterium]	   18171	   61514	    1740	   90.40	  100.00	   90.40	  100.00	   13.95	23575.79	1.0e-26
CARD|AAS68233.1 norA [Staphylococcus epidermidis]	    2497	   41148	    1164	   93.73	   93.73	  100.00	  106.69	    2.15	34229.29	1.0e-26
CARD|CAA53189 mupA [Staphylococcus aureus]	   12541	  108773	    3075	   99.45	   99.54	   99.90	  100.46	    4.12	76335.99	1.0e-26
