#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002164 aggregation substance PrgB/Asc10 [Enterococcus faecalis V583]	   99845	   24027	    3918	   92.22	   94.59	   97.49	  105.72	   27.06	46404.82	1.0e-26
VFDB|VFG002165 endocarditis specific antigen [Enterococcus faecalis V583]	   22092	    5698	     927	   99.89	  100.00	   99.89	  100.00	   23.97	 9670.15	1.0e-26
VFDB|VFG002166 collagen adhesin protein [Enterococcus faecalis V583]	   52866	   12436	    2025	  100.00	  100.00	  100.00	  100.00	   26.15	25030.44	1.0e-26
VFDB|VFG002171 aggregation substance [Enterococcus faecalis V583]	  233137	   23896	    3918	   98.95	  100.00	   98.95	  100.00	   62.05	170333.29	1.0e-26
VFDB|VFG002172 aggregation substance [Enterococcus faecalis V583]	   65450	   24061	    3918	   83.97	   85.99	   97.66	  116.30	   17.90	19137.55	1.0e-26
VFDB|VFG002173 aggregation substance Asa1 [Enterococcus faecalis V583]	  150402	   23812	    3891	   90.41	   92.42	   97.83	  108.20	   40.88	91983.55	1.0e-26
VFDB|VFG002174 coccolysin [Enterococcus faecalis V583]	   27780	    9423	    1533	  100.00	  100.00	  100.00	  100.00	   18.18	 9057.48	1.0e-26
VFDB|VFG002175 cytolysin regulator R1 [Enterococcus faecalis str. MMH594]	    9872	    1752	     285	  100.00	  100.00	  100.00	  100.00	   34.70	 5671.10	1.0e-26
VFDB|VFG002176 ABC-type transporter [Enterococcus faecalis str. MMH594]	   73535	   13162	    2145	   99.77	  100.00	   99.77	  100.00	   34.61	42040.45	1.0e-26
VFDB|VFG002177 cytolysin activator [Enterococcus faecalis str. MMH594]	   42087	    7611	    1239	   99.84	  100.00	   99.84	  100.00	   34.20	23916.15	1.0e-26
VFDB|VFG002178 cytolysin immunity protein [Enterococcus faecalis str. MMH594]	   30485	    6047	     984	   97.46	  100.00	   97.46	  100.00	   33.74	16347.52	1.0e-26
VFDB|VFG002180 ABC transporter, permease protein [Enterococcus faecalis V583]	   19043	    4998	     813	  100.00	  100.00	  100.00	  100.00	   23.48	 8204.68	1.0e-26
VFDB|VFG002181 ABC transporter, ATP-binding protein [Enterococcus faecalis V583]	   33117	    8259	    1344	  100.00	  100.00	  100.00	  100.00	   24.70	14933.72	1.0e-26
VFDB|VFG002182 UDP-galactopyranose mutase [Enterococcus faecalis V583]	   31317	    7005	    1140	  100.00	  100.00	  100.00	  100.00	   27.58	15422.44	1.0e-26
VFDB|VFG002183 lipoprotein [Enterococcus faecalis V583]	    9886	    2453	     399	  100.00	  100.00	  100.00	  100.00	   24.87	 4476.48	1.0e-26
VFDB|VFG002184 MurB family protein [Enterococcus faecalis V583]	   69592	   15062	    2454	  100.00	  100.00	  100.00	  100.00	   28.42	35124.76	1.0e-26
VFDB|VFG002185 CpsF protein [Enterococcus faecalis V583]	   19061	    5238	     852	  100.00	  100.00	  100.00	  100.00	   22.44	 7863.23	1.0e-26
VFDB|VFG002186 glycosyl transferase, group 2 family protein [Enterococcus faecalis V583]	   64427	   15415	    2511	  100.00	  100.00	  100.00	  100.00	   25.72	30085.33	1.0e-26
VFDB|VFG002187 glycosyl transferase, group 2 family protein [Enterococcus faecalis V583]	   35051	    9014	    1467	  100.00	  100.00	  100.00	  100.00	   23.96	15383.46	1.0e-26
VFDB|VFG002188 teichoic acid biosynthesis protein, putative [Enterococcus faecalis V583]	   27929	    7191	    1170	  100.00	  100.00	  100.00	  100.00	   23.91	12245.18	1.0e-26
VFDB|VFG002189 phosphatidate cytidylyltransferase [Enterococcus faecalis V583]	   18443	    4924	     801	  100.00	  100.00	  100.00	  100.00	   23.08	 7820.40	1.0e-26
VFDB|VFG002190 undecaprenyl diphosphate synthase [Enterococcus faecalis V583]	   20305	    5016	     816	  100.00	  100.00	  100.00	  100.00	   24.93	 9230.73	1.0e-26
VFDB|VFG002191 serine proteinase, V8 family [Enterococcus faecalis V583]	   19113	    5256	     855	  100.00	  100.00	  100.00	  100.00	   22.41	 7878.63	1.0e-26
VFDB|VFG002192 histidine kinase, putative [Enterococcus faecalis V583]	   28137	    8261	    1344	  100.00	  100.00	  100.00	  100.00	   21.02	10853.74	1.0e-26
VFDB|VFG002193 agrBfs protein [Enterococcus faecalis V583]	   11556	    4483	     729	  100.00	  100.00	  100.00	  100.00	   15.90	 3118.89	1.0e-26
VFDB|VFG002194 response regulator [Enterococcus faecalis V583]	   14742	    4501	     732	  100.00	  100.00	  100.00	  100.00	   20.17	 5450.10	1.0e-26
VFDB|VFG002195 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	   78241	   18501	    3015	  100.00	  100.00	  100.00	  100.00	   26.02	36889.06	1.0e-26
VFDB|VFG002196 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	  135725	   25224	    4119	   96.99	   96.99	  100.00	  103.10	   33.04	75864.54	1.0e-26
VFDB|VFG002197 sugar-binding transcriptional regulator, LacI family [Enterococcus faecalis V583]	   26414	    6214	    1011	  100.00	  100.00	  100.00	  100.00	   26.16	12505.62	1.0e-26
VFDB|VFG042976 endocarditis and biofilm-associated pilus tip protein EbpA [Enterococcus faecalis V583]	   75397	   20328	    3312	   99.94	  100.00	   99.94	  100.00	   22.89	31679.72	1.0e-26
VFDB|VFG042977 endocarditis and biofilm-associated pilus minor subunit EbpB [Enterococcus faecalis V583]	   33307	    8794	    1431	  100.00	  100.00	  100.00	  100.00	   23.35	14272.34	1.0e-26
VFDB|VFG042978 endocarditis and biofilm-associated pilus major subunit EbpC [Enterococcus faecalis V583]	   45311	   11536	    1878	  100.00	  100.32	   99.68	   99.68	   24.46	20065.84	1.0e-26
VFDB|VFG042979 sortase [Enterococcus faecalis V583]	   22715	    5255	     855	  100.00	  100.00	  100.00	  100.00	   26.65	10897.84	1.0e-26
VFDB|VFG043508 Enterococcus faecalis surface protein Fss1, fibrinogen binding protein [Enterococcus faecalis V583]	  199001	   36445	    5964	  100.00	  100.00	  100.00	  100.00	   33.45	112230.44	1.0e-26
VFDB|VFG043509 Enterococcus faecalis surface protein Fss2, fibrinogen binding protein [Enterococcus faecalis V583]	  132737	   30360	    4956	  100.00	  100.00	  100.00	  100.00	   26.84	64262.18	1.0e-26
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	  122303	   19774	    3228	   97.77	  100.00	   97.77	  100.00	   42.52	73988.44	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	   45963	   13306	    2166	  100.00	  100.00	  100.00	  100.00	   21.26	17993.04	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	   45674	   12181	    1983	   98.13	   98.18	   99.95	  101.85	   23.11	19388.12	1.0e-26
VFDB|VFG045470 cytolysin regulator R2 [Enterococcus faecalis str. MMH594]	    5886	    1236	     201	  100.00	  100.00	  100.00	  100.00	   29.31	 3035.62	1.0e-26
VFDB|VFG045472 CylL; cytolysin subunit [Enterococcus faecalis str. MMH594]	    9722	    1272	     207	  100.00	  100.00	  100.00	  100.00	   47.08	 6492.69	1.0e-26
VFDB|VFG045473 CylS; cytolysin subunit [Enterococcus faecalis str. MMH594]	    6401	    1180	     192	  100.00	  100.00	  100.00	  100.00	   33.42	 3594.11	1.0e-26
VFDB|VFG045474 CylM; cytolysin subunit modifier [Enterococcus faecalis str. MMH594]	  102327	   18281	    2982	   99.66	  100.00	   99.66	  100.00	   34.78	58567.10	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	  107344	   19786	    3228	   97.83	  100.00	   97.83	  100.00	   37.73	60302.57	1.0e-26
VFDB|VFG000871 Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073]	   74591	    3698	     603	   97.84	  100.00	   97.84	  100.00	  134.81	64193.85	1.0e-26
VFDB|VFG000872 Type 1 fimbriae Regulatory protein fimE [Escherichia coli CFT073]	   70107	    3662	     597	   98.83	  100.00	   98.83	  100.00	  122.04	59846.67	1.0e-26
VFDB|VFG000873 Type-1 fimbrial protein, A chain precursor [Escherichia coli CFT073]	   44801	    3721	     606	   91.09	   99.83	   91.24	  100.17	   95.08	34777.91	1.0e-26
VFDB|VFG000874 Fimbrin-like protein fimI precursor [Escherichia coli CFT073]	   58369	    3314	     540	   98.52	  100.00	   98.52	  100.00	  113.00	49138.13	1.0e-26
VFDB|VFG000875 Chaperone protein fimC precursor [Escherichia coli CFT073]	   87915	    4450	     726	   98.90	  100.00	   98.90	  100.00	  125.55	75420.25	1.0e-26
