#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  412276	    7493	    1486	   80.82	   92.19	   87.66	  108.47	  415.03	390331.96	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	    7489	   16244	    3123	   91.26	   92.28	   98.89	  108.36	    2.53	 3229.79	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	  173796	    7917	    1542	   95.01	  100.06	   94.94	   99.94	  157.09	151424.51	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  215835	    7825	    1529	   85.87	   97.25	   88.30	  102.82	  218.23	193453.53	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	  208937	   14878	    2904	   97.21	  100.10	   97.11	   99.90	   97.75	168257.74	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 1934715	   13046	    2926	   86.16	   96.48	   89.30	  103.65	  921.93	1895923.69	1.0e-26
CARD|NR_114659.1_1_1441 Mycobacterium chelonae 16S rRNA mutation conferring resistance to kanamycin A [Mycobacterium]	  117080	    7429	    1441	   78.83	   90.22	   87.38	  110.85	  135.65	96564.31	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	    3261	    6207	    1194	   96.90	   96.90	  100.00	  103.20	    2.81	  917.12	1.0e-26
CARD|CAA52904.1 catS [Streptococcus pyogenes]	     909	    2557	     492	   91.06	   94.72	   96.14	  105.58	    2.17	  784.15	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	   13082	    8963	    1725	   95.07	  100.00	   95.07	  100.00	    9.00	  769.21	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    6060	    8984	    1728	   99.36	  100.00	   99.36	  100.00	    3.69	  568.41	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	   16062	   16187	    3114	   97.33	   97.46	   99.87	  102.60	    5.25	    0.48	4.9e-01
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	    4613	    9094	    1749	   88.34	   88.39	   99.94	  113.13	    2.66	 1465.17	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	    5433	    7626	    1467	   99.52	   99.93	   99.59	  100.07	    3.84	  368.53	1.0e-26
