#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  389405	    6847	    1486	   77.12	   87.75	   87.88	  113.96	  388.95	369334.46	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	   11992	   14854	    3123	   95.52	   99.55	   95.95	  100.45	    4.37	  305.27	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	  197768	    7219	    1542	   95.59	  100.13	   95.47	   99.87	  176.42	177125.42	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  120530	    7204	    1529	   87.70	   99.93	   87.76	  100.07	  125.23	100541.99	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	  272163	   13520	    2904	   97.45	  100.03	   97.42	   99.97	  128.85	234159.75	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 2333728	   11300	    2926	   85.37	   96.00	   88.93	  104.17	 1088.62	2300043.41	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	   92973	    7102	    1504	   76.13	   88.10	   86.42	  113.51	  105.11	73681.68	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	    6586	    5677	    1194	   99.16	  100.00	   99.16	  100.00	    5.69	   67.29	1.0e-15
CARD|AET10444.1 tetA(46) [Streptococcus australis]	    4752	    8205	    1725	   90.84	   95.88	   94.74	  104.29	    3.29	  920.43	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   12160	    8214	    1728	   99.54	  100.00	   99.54	  100.00	    7.19	  763.90	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	   23979	   14797	    3114	   97.30	  100.00	   97.30	  100.00	    8.45	 2173.98	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	    6821	    8318	    1749	   98.06	  100.00	   98.06	  100.00	    4.17	  148.09	1.0e-26
