#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002164 aggregation substance PrgB/Asc10 [Enterococcus faecalis V583]	   51915	   14482	    3918	   83.69	   85.40	   98.00	  117.10	   14.28	21103.27	1.0e-26
VFDB|VFG002165 endocarditis specific antigen [Enterococcus faecalis V583]	   18685	    3431	     927	   99.68	  100.00	   99.68	  100.00	   20.37	10519.84	1.0e-26
VFDB|VFG002166 collagen adhesin protein [Enterococcus faecalis V583]	   29952	    7492	    2025	   95.60	   97.78	   97.78	  102.27	   15.55	13471.03	1.0e-26
VFDB|VFG002172 aggregation substance [Enterococcus faecalis V583]	   40618	   14493	    3918	   75.17	   77.44	   97.07	  129.14	   11.10	12383.86	1.0e-26
VFDB|VFG002173 aggregation substance Asa1 [Enterococcus faecalis V583]	   99771	   14335	    3891	   87.15	   89.13	   97.78	  112.20	   27.23	63967.74	1.0e-26
VFDB|VFG002179 Enterococcal surface protein; Esp [Enterococcus faecalis str. MMH594]	  106323	   20713	    5622	   85.45	   85.82	   99.56	  116.52	   19.29	57692.37	1.0e-26
VFDB|VFG002189 phosphatidate cytidylyltransferase [Enterococcus faecalis V583]	   10492	    2966	     801	   99.25	  100.00	   99.25	  100.00	   13.47	 4207.58	1.0e-26
VFDB|VFG002190 undecaprenyl diphosphate synthase [Enterococcus faecalis V583]	   12383	    3021	     816	   99.14	  100.00	   99.14	  100.00	   15.57	 5688.36	1.0e-26
VFDB|VFG002196 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	   86633	   15190	    4119	   98.32	   99.71	   98.61	  100.29	   22.39	50126.59	1.0e-26
VFDB|VFG002197 sugar-binding transcriptional regulator, LacI family [Enterococcus faecalis V583]	   18373	    3742	    1011	   99.11	  100.00	   99.11	  100.00	   18.70	 9678.29	1.0e-26
VFDB|VFG042976 endocarditis and biofilm-associated pilus tip protein EbpA [Enterococcus faecalis V583]	   44356	   12246	    3312	   99.46	  100.00	   99.46	  100.00	   13.65	18214.69	1.0e-26
VFDB|VFG042977 endocarditis and biofilm-associated pilus minor subunit EbpB [Enterococcus faecalis V583]	   19688	    5297	    1431	   99.37	  100.00	   99.37	  100.00	   14.05	 8287.90	1.0e-26
VFDB|VFG042978 endocarditis and biofilm-associated pilus major subunit EbpC [Enterococcus faecalis V583]	   29944	    6948	    1878	   99.68	  100.32	   99.36	   99.68	   16.22	14333.25	1.0e-26
VFDB|VFG042979 sortase [Enterococcus faecalis V583]	   10733	    3166	     855	   99.18	  100.35	   98.83	   99.65	   13.03	 4118.61	1.0e-26
VFDB|VFG043508 Enterococcus faecalis surface protein Fss1, fibrinogen binding protein [Enterococcus faecalis V583]	  113044	   21965	    5964	   98.51	  100.00	   98.51	  100.00	   19.88	61442.90	1.0e-26
VFDB|VFG043509 Enterococcus faecalis surface protein Fss2, fibrinogen binding protein [Enterococcus faecalis V583]	   55303	   18319	    4956	   77.44	   81.40	   95.14	  122.86	   12.38	18577.95	1.0e-26
VFDB|VFG000871 Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073]	  161550	    2210	     603	   98.18	  100.00	   98.18	  100.00	  284.08	155037.75	1.0e-26
VFDB|VFG000872 Type 1 fimbriae Regulatory protein fimE [Escherichia coli CFT073]	  171191	    2187	     597	   99.16	  100.00	   99.16	  100.00	  294.02	164740.07	1.0e-26
VFDB|VFG000873 Type-1 fimbrial protein, A chain precursor [Escherichia coli CFT073]	   89730	    2232	     606	   89.93	  100.99	   89.05	   99.02	  200.79	83249.52	1.0e-26
