#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002164 aggregation substance PrgB/Asc10 [Enterococcus faecalis V583]	  387409	    4912	    3918	   91.37	   93.62	   97.60	  106.82	  106.40	372916.89	1.0e-26
VFDB|VFG002165 endocarditis specific antigen [Enterococcus faecalis V583]	   94475	    1229	     927	   99.68	  100.00	   99.68	  100.00	  103.07	90850.03	1.0e-26
VFDB|VFG002166 collagen adhesin protein [Enterococcus faecalis V583]	  196445	    2634	    2025	   97.48	  100.00	   97.48	  100.00	  101.91	188680.56	1.0e-26
VFDB|VFG002172 aggregation substance [Enterococcus faecalis V583]	  247134	    5050	    3918	   81.98	   84.69	   96.81	  118.08	   67.56	232387.79	1.0e-26
VFDB|VFG002173 aggregation substance Asa1 [Enterococcus faecalis V583]	  781331	    4495	    3891	   92.34	   94.73	   97.48	  105.56	  213.93	767947.93	1.0e-26
VFDB|VFG002179 Enterococcal surface protein; Esp [Enterococcus faecalis str. MMH594]	  688728	    6628	    5622	   86.11	   86.59	   99.45	  115.49	  124.33	669095.85	1.0e-26
VFDB|VFG002189 phosphatidate cytidylyltransferase [Enterococcus faecalis V583]	   80266	    1065	     801	   99.25	  100.00	   99.25	  100.00	  102.68	77126.51	1.0e-26
VFDB|VFG002190 undecaprenyl diphosphate synthase [Enterococcus faecalis V583]	   82201	    1084	     816	   99.14	  100.00	   99.14	  100.00	  103.60	79003.56	1.0e-26
VFDB|VFG002196 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	  545718	    5001	    4119	   98.59	  100.00	   98.59	  100.00	  141.14	530894.18	1.0e-26
VFDB|VFG002197 sugar-binding transcriptional regulator, LacI family [Enterococcus faecalis V583]	  114047	    1335	    1011	   99.11	  100.00	   99.11	  100.00	  116.10	110101.28	1.0e-26
VFDB|VFG042976 endocarditis and biofilm-associated pilus tip protein EbpA [Enterococcus faecalis V583]	  331785	    4198	    3312	   99.46	  100.00	   99.46	  100.00	  102.04	319399.84	1.0e-26
VFDB|VFG042977 endocarditis and biofilm-associated pilus minor subunit EbpB [Enterococcus faecalis V583]	  144804	    1880	    1431	   99.37	  100.00	   99.37	  100.00	  103.44	139260.35	1.0e-26
VFDB|VFG042978 endocarditis and biofilm-associated pilus major subunit EbpC [Enterococcus faecalis V583]	  199993	    2441	    1878	   99.68	  100.32	   99.36	   99.68	  108.82	192785.93	1.0e-26
VFDB|VFG042979 sortase [Enterococcus faecalis V583]	   81482	    1136	     855	   99.18	  100.35	   98.83	   99.65	   98.64	78134.59	1.0e-26
VFDB|VFG043508 Enterococcus faecalis surface protein Fss1, fibrinogen binding protein [Enterococcus faecalis V583]	  727594	    6974	    5964	   98.51	  100.00	   98.51	  100.00	  128.08	706936.61	1.0e-26
VFDB|VFG043509 Enterococcus faecalis surface protein Fss2, fibrinogen binding protein [Enterococcus faecalis V583]	  339425	    6275	    4956	   81.82	   86.46	   94.63	  115.66	   75.86	321054.47	1.0e-26
