#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	  441941	   42273	    2637	   88.47	   99.89	   88.57	  100.11	  234.93	329882.07	1.0e-26
CARD|AFK13828.1 ramA [Enterobacter cloacae]	    1045	    6070	     375	   76.27	   88.80	   85.89	  112.61	    4.70	 3548.94	1.0e-26
CARD|ACI32877.1 dfrA14 [Escherichia coli]	   17585	    7815	     483	   99.79	  100.00	   99.79	  100.00	   36.66	 3757.59	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	   34760	   24740	    1529	   83.52	   94.05	   88.80	  106.33	   37.86	 1687.17	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  391223	   20646	    1287	  100.00	  100.00	  100.00	  100.00	  305.42	333423.79	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	  502137	   14589	     912	  100.00	  100.00	  100.00	  100.00	  553.47	460016.23	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	10137666	   35717	    2904	   96.94	   99.93	   97.00	  100.07	 3868.72	10031016.01	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 1026127	   46253	    2926	   82.57	   90.87	   90.86	  110.04	  468.22	895345.43	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	  617601	   16464	    1032	   99.90	  100.00	   99.90	  100.00	  603.52	569918.80	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  450348	   27686	    1728	   89.70	  100.00	   89.70	  100.00	  349.34	373702.94	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	  202098	    7829	     486	  100.00	  100.00	  100.00	  100.00	  418.24	179777.58	1.0e-26
