#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  937160	   39899	    1486	   86.74	   99.73	   86.98	  100.27	  948.05	823977.72	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  759705	   41159	    1529	   85.35	   96.86	   88.12	  103.24	  786.12	644687.59	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	    1376	   35017	    1287	   80.57	   80.81	   99.71	  123.75	    1.08	31097.58	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	    1645	   24810	     912	   81.69	   81.69	  100.00	  122.42	    1.81	20284.72	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	  121894	   78928	    2904	   96.63	  100.00	   96.63	  100.00	   49.30	 9192.49	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 7189459	   71563	    2926	   82.47	   93.27	   88.42	  107.22	 3374.23	6977588.42	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  371598	   40710	    1504	   85.17	   96.34	   88.41	  103.80	  406.95	265544.33	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	    3115	   28075	    1032	   94.38	   94.57	   99.80	  105.74	    3.05	19975.21	1.0e-26
CARD|AAV37206.1 CfxA5 [Parabacteroides distasonis]	    2234	   26279	     966	   89.96	   89.96	  100.00	  111.16	    2.31	20278.07	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	 2109318	   45543	    1725	   95.19	  100.00	   95.19	  100.00	 1418.25	1976538.46	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    3867	   47022	    1728	   72.40	   79.46	   91.11	  125.86	    2.97	36597.18	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	    1163	   13219	     486	   89.51	   89.51	  100.00	  111.72	    2.41	10106.53	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	 2356204	   40193	    1528	   84.36	   96.01	   87.87	  104.16	 2216.82	2238319.07	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	  387221	   33039	    1221	   99.92	  100.00	   99.92	  100.00	  319.56	298492.13	1.0e-26
CARD|CAC41371.2 tet32 [Clostridiaceae bacterium K10]	  160686	   52135	    1920	   98.28	  100.00	   98.28	  100.00	   90.19	55366.60	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	     671	   13545	     498	   83.53	   83.53	  100.00	  119.71	    1.35	11659.59	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	36219731	   38563	    2904	   97.14	   99.93	   97.21	  100.07	14518.45	36104204.19	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  829968	   41333	    1537	   79.18	   89.79	   88.19	  111.38	  872.08	713810.66	1.0e-26
CARD|AAY32951.1 lnuC [Streptococcus agalactiae]	    6834	   13463	     495	   99.19	  100.00	   99.19	  100.00	   14.27	 2165.10	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	    3417	   21626	     795	   99.87	  100.00	   99.87	  100.00	    4.33	13240.05	1.0e-26
