#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	  152709	  116607	    2637	   84.26	   94.99	   88.70	  105.27	   79.44	 4839.41	1.0e-26
CARD|AFK13828.1 ramA [Enterobacter cloacae]	    6749	   16589	     375	   82.67	   94.13	   87.82	  106.23	   27.81	 4148.84	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	  162866	   68151	    1542	   85.08	   87.09	   97.69	  114.82	  111.63	38831.37	1.0e-26
CARD|BAJ09383.1 qacA [Staphylococcus aureus]	    3324	   68379	    1545	   86.21	   86.54	   99.63	  115.56	    2.20	59023.89	1.0e-26
CARD|ACI32877.1 dfrA14 [Escherichia coli]	  169126	   21337	     483	   99.79	  100.00	   99.79	  100.00	  352.35	114675.51	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  230607	   67537	    1529	   78.68	   90.06	   87.36	  111.04	  263.99	89190.90	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	 3118875	   55412	    1287	  100.00	  100.00	  100.00	  100.00	 2428.28	2956507.78	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	 3930256	   38976	     912	  100.00	  100.00	  100.00	  100.00	 4318.82	3814858.79	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 4522721	  123540	    2904	   96.45	  100.03	   96.42	   99.97	 1740.69	4165238.58	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 9270936	  119127	    2926	   90.81	  100.03	   90.78	   99.97	 4214.89	8919597.74	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	 3989283	   44083	    1032	   99.90	  100.00	   99.90	  100.00	 3886.89	3858961.06	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  257691	   76315	    1728	   91.15	  100.00	   91.15	  100.00	  190.91	98492.92	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	 2111842	   21106	     486	  100.00	  100.00	  100.00	  100.00	 4354.54	2049357.36	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	  149593	  139323	    3150	   76.95	   89.24	   86.23	  112.06	   77.15	  365.04	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  788040	   67165	    1528	   73.76	   84.82	   86.96	  117.90	  740.89	607644.13	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	 1378293	   21768	     498	  100.00	  100.00	  100.00	  100.00	 2774.03	1314341.40	1.0e-26
