#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  200228	   31861	    1486	   82.77	   93.47	   88.55	  106.98	  196.54	122140.17	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	  666693	   66441	    3123	   96.16	  100.00	   96.16	  100.00	  240.49	491455.03	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	 3947168	   30838	    1542	   99.87	  100.00	   99.87	  100.00	 2417.94	3855607.52	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  396058	   32668	    1529	   88.49	   99.67	   88.78	  100.33	  354.97	308009.99	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	    6650	   27688	    1287	   98.21	   98.21	  100.00	  101.82	    5.17	12889.56	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	    9660	   19616	     912	  100.00	  100.00	  100.00	  100.00	   10.70	 3386.12	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 7327364	   54328	    2904	   99.07	  100.00	   99.07	  100.00	 2608.56	7165977.33	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 1586803	   61208	    2926	   85.20	   96.07	   88.69	  104.09	  745.93	1412270.77	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	   62479	   32327	    1504	   71.28	   81.32	   87.65	  122.98	   63.68	 9589.50	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	  307990	   25548	    1194	   99.08	  100.00	   99.08	  100.00	  265.79	239173.59	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	   11656	   22197	    1032	   99.90	  100.00	   99.90	  100.00	   11.34	 3282.73	1.0e-26
