#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	  901007	   88655	    2637	   84.98	   96.02	   88.51	  104.15	  461.36	666807.60	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	21037994	   75125	    2904	   97.21	   99.93	   97.28	  100.07	 7926.04	20813688.01	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	   22244	   99372	    2926	   84.65	   90.87	   93.16	  110.04	    9.63	48914.81	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  849431	   58109	    1728	   90.80	  100.00	   90.80	  100.00	  660.44	689986.21	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	  510630	  106397	    3150	   75.17	   87.52	   85.89	  114.25	  256.46	264824.90	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	  179512	   98449	    2904	   96.25	   99.93	   96.31	  100.07	   70.04	23640.73	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  363707	   47064	    1392	   72.56	   84.20	   86.18	  118.77	  395.68	244083.71	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	 2473044	   50887	    1542	   96.95	   99.87	   97.08	  100.13	 1773.65	2324486.49	1.0e-26
CARD|YP_005226137.1 Klebsiella pneumoniae OmpK35 [Klebsiella pneumoniae subsp. pneumoniae HS11286]	  679572	   23037	     684	   99.56	  100.15	   99.42	   99.85	 1008.77	613482.29	1.0e-26
CARD|BAE77933.1 CRP [Escherichia coli str. K-12 substr. W3110]	  238304	   21426	     633	   87.84	  100.00	   87.84	  100.00	  529.74	181095.10	1.0e-26
CARD|U00096_3941808_3943349 Escherichia coli 16S rRNA mutation in the rrsC gene conferring resistance to kasugamicin [Escherichia coli K-12]	 1354181	   51551	    1542	   89.04	   92.41	   96.35	  108.21	  949.67	1207089.57	1.0e-26
CARD|AMQ12811.1 FosA6 [Escherichia coli]	  304401	   14204	     420	   90.24	   93.33	   96.68	  107.14	  735.43	264320.07	1.0e-26
