#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002164 aggregation substance PrgB/Asc10 [Enterococcus faecalis V583]	 5405552	   69360	    3918	   96.38	   99.13	   97.22	  100.88	 1485.02	5200984.70	1.0e-26
VFDB|VFG002165 endocarditis specific antigen [Enterococcus faecalis V583]	 1335878	   17341	     927	   99.68	  100.00	   99.68	  100.00	 1459.05	1284741.61	1.0e-26
VFDB|VFG002166 collagen adhesin protein [Enterococcus faecalis V583]	 2879689	   37111	    2025	   97.43	  100.00	   97.43	  100.00	 1503.30	2770244.53	1.0e-26
VFDB|VFG002172 aggregation substance [Enterococcus faecalis V583]	 3324763	   71400	    3918	   91.60	   95.33	   96.09	  104.90	  910.20	3116565.44	1.0e-26
VFDB|VFG002173 aggregation substance Asa1 [Enterococcus faecalis V583]	11156765	   63282	    3891	   96.04	   98.71	   97.29	  101.30	 3048.36	10968344.27	1.0e-26
VFDB|VFG002179 Enterococcal surface protein; Esp [Enterococcus faecalis str. MMH594]	 9490451	   93820	    5622	   88.14	   88.72	   99.34	  112.71	 1734.20	9212663.62	1.0e-26
VFDB|VFG002189 phosphatidate cytidylyltransferase [Enterococcus faecalis V583]	 1147151	   15021	     801	   99.25	  100.00	   99.25	  100.00	 1467.99	1102861.77	1.0e-26
VFDB|VFG002190 undecaprenyl diphosphate synthase [Enterococcus faecalis V583]	 1233140	   15285	     816	   99.14	  100.00	   99.14	  100.00	 1555.40	1188031.26	1.0e-26
VFDB|VFG002196 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	 7493868	   70770	    4119	   98.59	  100.00	   98.59	  100.00	 1938.97	7284205.63	1.0e-26
VFDB|VFG002197 sugar-binding transcriptional regulator, LacI family [Enterococcus faecalis V583]	 1581328	   18851	    1011	   99.11	  100.00	   99.11	  100.00	 1610.93	1525661.69	1.0e-26
VFDB|VFG042976 endocarditis and biofilm-associated pilus tip protein EbpA [Enterococcus faecalis V583]	 5020778	   58942	    3312	   99.46	  100.00	   99.46	  100.00	 1545.28	4846685.99	1.0e-26
VFDB|VFG042977 endocarditis and biofilm-associated pilus minor subunit EbpB [Enterococcus faecalis V583]	 2051691	   26517	    1431	   99.37	  100.00	   99.37	  100.00	 1465.29	1973491.80	1.0e-26
VFDB|VFG042978 endocarditis and biofilm-associated pilus major subunit EbpC [Enterococcus faecalis V583]	 2957708	   34379	    1878	   99.68	  100.32	   99.36	   99.68	 1605.95	2856150.61	1.0e-26
VFDB|VFG042979 sortase [Enterococcus faecalis V583]	 1290089	   16004	     855	   99.18	  100.35	   98.83	   99.65	 1559.33	1242860.40	1.0e-26
VFDB|VFG043508 Enterococcus faecalis surface protein Fss1, fibrinogen binding protein [Enterococcus faecalis V583]	 9878868	   98956	    5964	   98.51	  100.00	   98.51	  100.00	 1736.71	9585924.95	1.0e-26
VFDB|VFG043509 Enterococcus faecalis surface protein Fss2, fibrinogen binding protein [Enterococcus faecalis V583]	 4928667	   88350	    4956	   83.37	   88.30	   94.42	  113.25	 1101.60	4669837.90	1.0e-26
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	  213357	   61328	    3228	   83.74	   92.01	   91.01	  108.69	   84.16	84141.78	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	   94062	   18542	     975	   98.97	  100.00	   98.97	  100.00	   98.35	50647.67	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	  371985	   41055	    2166	  100.00	  100.00	  100.00	  100.00	  176.30	265142.95	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	  219128	   37660	    1983	   97.98	   98.18	   99.79	  101.85	  118.20	128239.65	1.0e-26
VFDB|VFG000871 Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073]	   17507	   11478	     603	   98.18	  100.00	   98.18	  100.00	   31.16	 1253.86	1.0e-26
VFDB|VFG000872 Type 1 fimbriae Regulatory protein fimE [Escherichia coli CFT073]	   22231	   11363	     597	   99.16	  100.00	   99.16	  100.00	   38.36	 3515.54	1.0e-26
VFDB|VFG000873 Type-1 fimbrial protein, A chain precursor [Escherichia coli CFT073]	   13403	   11536	     606	   89.93	  100.99	   89.05	   99.02	   30.58	  139.74	1.0e-26
VFDB|VFG000874 Fimbrin-like protein fimI precursor [Escherichia coli CFT073]	   15402	   10279	     540	   98.70	  100.00	   98.70	  100.00	   29.86	 1021.83	1.0e-26
VFDB|VFG000875 Chaperone protein fimC precursor [Escherichia coli CFT073]	   21741	   13819	     726	   98.90	  100.00	   98.90	  100.00	   31.09	 1764.63	1.0e-26
VFDB|VFG000876 Outer membrane usher protein fimD precursor [Escherichia coli CFT073]	   76960	   50182	    2637	   98.60	  100.00	   98.60	  100.00	   30.56	 5639.38	1.0e-26
VFDB|VFG000877 FimF protein precursor [Escherichia coli CFT073]	   15716	   10165	     534	   97.94	  100.00	   97.94	  100.00	   31.66	 1190.57	1.0e-26
VFDB|VFG000878 FimG protein precursor [Escherichia coli CFT073]	   16740	    9593	     504	   97.82	  100.00	   97.82	  100.00	   35.27	 1939.29	1.0e-26
VFDB|VFG000879 FimH protein precursor [Escherichia coli CFT073]	   26446	   17359	     912	   97.37	  100.00	   97.37	  100.00	   31.39	 1884.71	1.0e-26
VFDB|VFG000905 Hemolysin C [Escherichia coli CFT073]	   17329	   12849	     675	   76.89	   80.59	   95.40	  124.08	   27.47	  664.99	1.0e-26
VFDB|VFG000906 Hemolysin A [Escherichia coli CFT073]	  109272	   58499	    3075	   99.38	  100.00	   99.38	  100.00	   36.36	15364.99	1.0e-26
VFDB|VFG000907 Hemolysin B [Escherichia coli CFT073]	   77184	   40415	    2124	   99.44	  100.00	   99.44	  100.00	   37.03	11496.26	1.0e-26
