#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG045473 CylS; cytolysin subunit [Enterococcus faecalis str. MMH594]	     356	     361	     192	   89.58	   89.58	  100.00	  111.63	    1.85	    0.04	8.5e-01
VFDB|VFG000871 Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073]	   51812	    1126	     603	   97.68	  100.17	   97.52	   99.83	   94.05	48527.78	1.0e-26
VFDB|VFG000872 Type 1 fimbriae Regulatory protein fimE [Escherichia coli CFT073]	   63571	    1113	     597	   98.83	  100.00	   98.83	  100.00	  110.44	60306.47	1.0e-26
VFDB|VFG000873 Type-1 fimbrial protein, A chain precursor [Escherichia coli CFT073]	   36512	    1134	     606	   91.09	   99.83	   91.24	  100.17	   78.83	33244.87	1.0e-26
VFDB|VFG000874 Fimbrin-like protein fimI precursor [Escherichia coli CFT073]	   44707	    1009	     540	   98.52	  100.00	   98.52	  100.00	   86.54	41766.42	1.0e-26
VFDB|VFG000875 Chaperone protein fimC precursor [Escherichia coli CFT073]	   64859	    1354	     726	   98.90	  100.00	   98.90	  100.00	   92.73	60907.14	1.0e-26
VFDB|VFG000876 Outer membrane usher protein fimD precursor [Escherichia coli CFT073]	  241093	    4804	    2637	   98.52	  100.00	   98.52	  100.00	   95.97	227053.78	1.0e-26
VFDB|VFG000877 FimF protein precursor [Escherichia coli CFT073]	   40468	     999	     534	   96.63	  100.00	   96.63	  100.00	   85.01	37566.47	1.0e-26
VFDB|VFG000878 FimG protein precursor [Escherichia coli CFT073]	   45264	     942	     504	   98.21	  100.00	   98.21	  100.00	   95.28	42513.30	1.0e-26
VFDB|VFG000879 FimH protein precursor [Escherichia coli CFT073]	   80166	    1697	     912	   97.48	  100.00	   97.48	  100.00	   95.02	75213.58	1.0e-26
VFDB|VFG000916 heme oxygenase ChuS [Escherichia coli CFT073]	   79714	    1915	    1029	   98.54	  100.00	   98.54	  100.00	   79.32	74146.65	1.0e-26
VFDB|VFG000917 Outer membrane heme/hemoglobin receptor ChuA [Escherichia coli CFT073]	  193292	    3570	    1947	   99.54	  100.00	   99.54	  100.00	  101.14	182840.02	1.0e-26
VFDB|VFG000918 periplasmic heme-binding protein ChuT [Escherichia coli CFT073]	   95506	    1844	     993	   99.80	  100.00	   99.80	  100.00	   96.93	90111.53	1.0e-26
VFDB|VFG000919 Putative oxygen independent coproporphyrinogen III oxidase [Escherichia coli CFT073]	  144995	    2469	    1338	   98.88	  100.00	   98.88	  100.00	  112.42	137752.33	1.0e-26
VFDB|VFG000920 putative heme-binding protein ChuX [Escherichia coli CFT073]	   54056	     924	     495	  100.00	  100.00	  100.00	  100.00	  109.87	51344.36	1.0e-26
VFDB|VFG000921 ChuY [Escherichia coli CFT073]	   60369	    1164	     624	   98.24	  100.00	   98.24	  100.00	   99.79	56963.30	1.0e-26
VFDB|VFG000922 heme permease protein ChuU [Escherichia coli CFT073]	   79884	    1848	     993	   99.50	  100.00	   99.50	  100.00	   81.23	74505.31	1.0e-26
VFDB|VFG000923 ferrienterobactin outer membrane transporter [Escherichia coli CFT073]	  190529	    4111	    2241	   98.93	  100.00	   98.93	  100.00	   88.73	178542.45	1.0e-26
VFDB|VFG000924 ferrienterobactin ABC transporter periplasmic binding protein [Escherichia coli CFT073]	   92423	    1778	     957	   98.43	  100.00	   98.43	  100.00	  102.10	87221.50	1.0e-26
VFDB|VFG000925 ferrienterobactin ABC transporter ATPase [Escherichia coli CFT073]	   72550	    1520	     816	   99.14	  100.00	   99.14	  100.00	   91.46	68113.18	1.0e-26
VFDB|VFG000926 ferrienterobactin ABC transporter permease [Escherichia coli CFT073]	   89111	    1890	    1017	   97.84	  100.00	   97.84	  100.00	   94.32	83595.20	1.0e-26
VFDB|VFG000928 iron-enterobactin ABC transporter permease [Escherichia coli CFT073]	   78509	    1848	     993	   97.89	  100.00	   97.89	  100.00	   84.64	73132.21	1.0e-26
VFDB|VFG000929 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	   86923	    1433	     771	   84.44	   88.20	   95.74	  113.38	  146.04	82714.33	1.0e-26
VFDB|VFG000930 enterobactin synthase multienzyme complex component, ATP-dependent [Escherichia coli CFT073]	  319430	    6999	    3882	   98.20	  100.00	   98.20	  100.00	   87.13	299031.64	1.0e-26
VFDB|VFG000931 isochorismate synthase 1 [Escherichia coli CFT073]	   96468	    2206	    1188	   98.74	  100.00	   98.74	  100.00	   84.53	90044.86	1.0e-26
VFDB|VFG000932 2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	  135591	    2977	    1611	   98.88	  100.00	   98.88	  100.00	   87.61	126915.31	1.0e-26
VFDB|VFG000933 isochorismatase [Escherichia coli CFT073]	   81076	    1597	     858	   99.42	  100.00	   99.42	  100.00	   97.42	76408.37	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	   81568	    1937	    1041	   97.21	  100.96	   96.29	   99.05	   87.98	75935.06	1.0e-26
VFDB|VFG001444 putative arylsulfatase [Escherichia coli O18:K1:H7 str. RS218]	  150405	    2633	    1428	   98.25	  100.07	   98.18	   99.93	  111.77	142685.53	1.0e-26
VFDB|VFG001713 PapX protein regulates flagellum synthesis to repress motility [Escherichia coli CFT073]	   48628	    1031	     552	   97.64	  100.00	   97.64	  100.00	   94.44	45618.22	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	   60310	    1248	     669	   98.06	  100.00	   98.06	  100.00	   96.00	56665.40	1.0e-26
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	   60131	    1103	     591	   99.49	  100.00	   99.49	  100.00	  103.83	56901.30	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	   52821	    1098	     588	   98.47	  100.00	   98.47	  100.00	   94.88	49614.92	1.0e-26
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	  207289	    4623	    2526	   97.62	  100.00	   97.62	  100.00	   88.65	193820.86	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	  128424	    3041	    1644	   99.21	  100.00	   99.21	  100.00	   80.55	119581.97	1.0e-26
VFDB|VFG002417 E. coli common pilus chaperone EcpE [Escherichia coli O157:H7 str. EDL933]	   61119	    1410	     756	   97.88	  100.00	   97.88	  100.00	   86.46	57013.66	1.0e-26
VFDB|VFG042390 regulatory protein SfaX [Escherichia coli UTI89]	    5917	    1037	     552	   72.83	   76.27	   95.49	  131.12	   11.63	 3423.16	1.0e-26
