#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	   92688	   53143	    3228	   82.43	   89.93	   91.66	  111.20	   36.04	10723.17	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	   31747	   16057	     975	   99.28	   99.28	  100.00	  100.72	   32.96	 5149.32	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	  137901	   35625	    2166	  100.00	  100.00	  100.00	  100.00	   64.42	60280.65	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	  125435	   32620	    1983	   98.89	   98.89	  100.00	  101.12	   65.16	54503.60	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	   85630	   53149	    3228	   95.23	  100.00	   95.23	  100.00	   32.68	 7602.07	1.0e-26
VFDB|VFG000916 heme oxygenase ChuS [Escherichia coli CFT073]	  720112	   16769	    1029	   97.96	  100.00	   97.96	  100.00	  714.71	671328.76	1.0e-26
VFDB|VFG000917 Outer membrane heme/hemoglobin receptor ChuA [Escherichia coli CFT073]	 1321565	   31445	    1947	   98.56	  100.00	   98.56	  100.00	  703.60	1230152.37	1.0e-26
VFDB|VFG000918 periplasmic heme-binding protein ChuT [Escherichia coli CFT073]	  939710	   16128	     993	   99.40	  100.00	   99.40	  100.00	  963.85	892412.87	1.0e-26
VFDB|VFG000919 Putative oxygen independent coproporphyrinogen III oxidase [Escherichia coli CFT073]	 1192188	   21649	    1338	   97.91	  100.00	   97.91	  100.00	  942.70	1128783.86	1.0e-26
VFDB|VFG000920 putative heme-binding protein ChuX [Escherichia coli CFT073]	  202337	    8130	     495	   94.34	   98.59	   95.70	  101.43	  447.29	179202.72	1.0e-26
VFDB|VFG000921 ChuY [Escherichia coli CFT073]	  474251	   10206	     624	   96.31	  100.00	   96.31	  100.00	  839.05	444490.60	1.0e-26
VFDB|VFG000922 heme permease protein ChuU [Escherichia coli CFT073]	  375115	   16268	     993	   99.19	  100.00	   99.19	  100.00	  384.63	329013.72	1.0e-26
VFDB|VFG000923 ferrienterobactin outer membrane transporter [Escherichia coli CFT073]	 1574851	   36054	    2241	   97.90	  100.00	   97.90	  100.00	  749.74	1469915.93	1.0e-26
VFDB|VFG000924 ferrienterobactin ABC transporter periplasmic binding protein [Escherichia coli CFT073]	  719684	   15596	     957	   98.22	  100.00	   98.22	  100.00	  795.58	674218.20	1.0e-26
VFDB|VFG000925 ferrienterobactin ABC transporter ATPase [Escherichia coli CFT073]	  565194	   13329	     816	   97.67	  100.00	   97.67	  100.00	  745.04	526433.93	1.0e-26
VFDB|VFG000926 ferrienterobactin ABC transporter permease [Escherichia coli CFT073]	  766255	   16562	    1017	   96.46	  100.00	   96.46	  100.00	  846.36	717968.92	1.0e-26
VFDB|VFG000928 iron-enterobactin ABC transporter permease [Escherichia coli CFT073]	  558382	   16223	     993	   94.76	  100.00	   94.76	  100.00	  652.09	511544.41	1.0e-26
VFDB|VFG000929 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	  803513	   12548	     771	   93.51	  100.00	   93.51	  100.00	 1436.98	766639.76	1.0e-26
VFDB|VFG000930 enterobactin synthase multienzyme complex component, ATP-dependent [Escherichia coli CFT073]	 2527709	   61555	    3882	   95.65	   99.38	   96.24	  100.62	  728.15	2348895.87	1.0e-26
VFDB|VFG000931 isochorismate synthase 1 [Escherichia coli CFT073]	  881630	   19314	    1188	   98.40	  100.00	   98.40	  100.00	  779.51	825344.14	1.0e-26
VFDB|VFG000932 2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	 1094666	   26107	    1611	   96.52	  100.00	   96.52	  100.00	  757.82	1018774.95	1.0e-26
VFDB|VFG000933 isochorismatase [Escherichia coli CFT073]	  593489	   14009	     858	   98.25	  100.00	   98.25	  100.00	  733.51	552752.31	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	  656389	   16982	    1041	   98.27	  100.00	   98.27	  100.00	  667.91	607155.67	1.0e-26
VFDB|VFG001444 putative arylsulfatase [Escherichia coli O18:K1:H7 str. RS218]	 1318987	   23061	    1428	   97.48	  100.07	   97.41	   99.93	 1003.32	1251388.94	1.0e-26
VFDB|VFG001448 KpsD [Escherichia coli O18:K1:H7 str. RS218]	 1408519	   27046	    1677	   97.97	  100.00	   97.97	  100.00	  887.74	1329418.24	1.0e-26
VFDB|VFG001713 PapX protein regulates flagellum synthesis to repress motility [Escherichia coli CFT073]	  410068	    9037	     552	   97.46	  100.00	   97.46	  100.00	  807.09	383734.07	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	  554083	   10929	     669	   98.95	  100.00	   98.95	  100.00	  855.96	522139.60	1.0e-26
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	  517506	    9660	     591	   99.66	  100.00	   99.66	  100.00	  887.93	489232.34	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	  432937	    9623	     588	   98.98	  100.00	   98.98	  100.00	  759.06	404902.17	1.0e-26
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	 2040771	   40348	    2526	   98.46	  100.00	   98.46	  100.00	  847.02	1922855.99	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	 1252203	   26578	    1644	   99.09	  100.00	   99.09	  100.00	  787.84	1174678.11	1.0e-26
VFDB|VFG002417 E. coli common pilus chaperone EcpE [Escherichia coli O157:H7 str. EDL933]	  547518	   12352	     756	   98.02	  100.00	   98.02	  100.00	  775.25	511550.47	1.0e-26
VFDB|VFG034754 Type III secretion system effector espL1 [Escherichia coli O157:H7 str. EDL933]	 1063373	   30792	    1899	   96.05	  100.00	   96.05	  100.00	  632.17	974462.28	1.0e-26
VFDB|VFG034815 Type III secretion system effector espR1 [Escherichia coli O157:H7 str. EDL933]	  596902	   20574	    1260	   94.44	  100.08	   94.37	   99.92	  564.92	537920.32	1.0e-26
VFDB|VFG034849 Type III secretion system effector EspX1 [Escherichia coli O157:H7 str. EDL933]	 1028490	   23067	    1422	   95.22	   99.93	   95.29	  100.07	  823.06	961311.82	1.0e-26
VFDB|VFG034866 Type III secretion system effector EspX4 [Escherichia coli O157:H7 str. EDL933]	 1343172	   25523	    1581	   96.02	  100.00	   96.02	  100.00	  951.66	1268505.96	1.0e-26
VFDB|VFG034895 Type III secretion system effector EspY1 [Escherichia coli O157:H7 str. EDL933]	  449260	   12322	     753	   94.69	   99.47	   95.19	  100.53	  703.57	413609.66	1.0e-26
VFDB|VFG034901 Type III secretion system effector EspY2 [Escherichia coli O157:H7 str. EDL933]	  403860	    9333	     570	   94.04	  100.00	   94.04	  100.00	  864.71	376702.89	1.0e-26
VFDB|VFG034915 Type III secretion system effector EspY4 [Escherichia coli O157:H7 str. EDL933]	 1401637	   38863	    2409	   82.69	   89.75	   92.14	  111.42	  688.19	1289241.50	1.0e-26
VFDB|VFG042390 regulatory protein SfaX [Escherichia coli UTI89]	   52503	    9087	     552	   95.47	  100.00	   95.47	  100.00	  103.29	30604.44	1.0e-26
VFDB|VFG044159 enterobactin/ferric enterobactin esterase [Escherichia coli CFT073]	  877071	   19559	    1203	   97.17	  100.00	   97.17	  100.00	  804.32	820099.73	1.0e-26
VFDB|VFG044165 enterobactin exporter, iron-regulated [Escherichia coli CFT073]	  870306	   20342	    1251	   96.32	  100.00	   96.32	  100.00	  763.03	811138.12	1.0e-26
VFDB|VFG044172 ATP-binding hydrophilic protein ChuV [Escherichia coli CFT073]	  475862	   13102	     801	   98.50	  100.00	   98.50	  100.00	  618.40	437959.37	1.0e-26
VFDB|VFG045349 adhesin FdeC [Escherichia coli O45:K1:H7 str. S88]	 2467806	   67476	    4251	   90.59	   97.77	   92.66	  102.29	  695.96	2272559.74	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    1345	   10478	     636	   94.81	   95.13	   99.67	  105.12	    2.15	 7055.39	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    2006	   16410	     996	   92.57	   92.67	   99.89	  107.91	    2.03	11266.83	1.0e-26
VFDB|VFG043625 fimbrial biogenesis outer membrane usher protein mrkC precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    8150	   40989	    2487	   92.52	   93.24	   99.22	  107.24	    3.43	21946.02	1.0e-26
VFDB|VFG043626 fimbrial chaperone protein mrkB precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    3335	   11565	     702	  100.00	  100.00	  100.00	  100.00	    4.77	 4546.31	1.0e-26
VFDB|VFG043627 type 3 fimbrial major pilin subunit MrkA [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    1534	   10033	     609	   93.27	   95.07	   98.10	  105.18	    2.82	 6245.16	1.0e-26
VFDB|VFG044322 siderophore esterase IroE [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    1430	   15422	     936	   89.74	   90.60	   99.06	  110.38	    1.57	11617.51	1.0e-26
VFDB|VFG044326 yersiniabactin ABC transporter ATP-binding/permease protein YbtP [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  237782	   29607	    1803	   73.38	   73.60	   99.70	  135.87	  133.75	162073.54	1.0e-26
VFDB|VFG044327 yersiniabactin transcriptional regulator YbtA [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   63809	   15802	     960	   79.48	   80.73	   98.45	  123.87	   67.09	28948.07	1.0e-26
VFDB|VFG044331 type II thioesterase YbtT [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   47811	   13237	     804	   99.38	  100.00	   99.38	  100.00	   60.23	19580.01	1.0e-26
