#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   43054	   68905	    1486	   85.80	   97.91	   87.63	  102.13	   44.39	 5969.28	1.0e-26
CARD|ANZ79241.1 tetB(60) [uncultured bacterium]	   12889	   80711	    1740	   85.34	   96.67	   88.29	  103.45	   11.33	49144.31	1.0e-26
CARD|BAJ09383.1 qacA [Staphylococcus aureus]	   15740	   71659	    1545	   99.81	  100.00	   99.81	  100.00	   10.29	35778.20	1.0e-26
CARD|ACI32877.1 dfrA14 [Escherichia coli]	     411	   22396	     483	   70.81	   71.22	   99.42	  140.41	    0.87	21192.64	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  289562	   70755	    1529	   82.67	   93.39	   88.52	  107.07	  321.01	132871.84	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	 3275045	   58073	    1287	  100.00	  100.00	  100.00	  100.00	 2549.02	3104873.21	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	 5550712	   40347	     912	  100.00	  100.00	  100.00	  100.00	 6097.01	5430834.17	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	   25596	  134751	    2904	   96.45	  100.21	   96.25	   99.79	   10.01	74307.02	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 9834079	  124722	    2926	   91.08	   99.86	   91.20	  100.14	 4458.83	9466159.19	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	 5624947	   45629	    1032	   99.90	  100.00	   99.90	  100.00	 5478.54	5489528.62	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    1849	   80162	    1728	   70.20	   76.56	   91.69	  130.61	    1.41	74782.05	1.0e-26
CARD|AAQ10694.1 qacB [Staphylococcus aureus]	    5181	   71665	    1545	   92.56	   93.07	   99.44	  107.44	    3.41	57520.07	1.0e-26
CARD|AAO04716.1 dfrC [Staphylococcus epidermidis ATCC 12228]	    3262	   22534	     486	   99.18	  100.00	   99.18	  100.00	    6.90	14398.54	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	 3070950	   21961	     486	  100.00	  100.00	  100.00	  100.00	 6329.31	3005690.53	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  894188	   70354	    1528	   81.02	   92.74	   87.37	  107.83	  832.34	703652.43	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	 1361849	   22830	     498	  100.00	  100.00	  100.00	  100.00	 2739.99	1294862.21	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	13951526	  119179	    2904	   91.12	  100.07	   91.05	   99.93	 6162.96	13598024.82	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	  847361	   71026	    1542	   93.39	  100.06	   93.32	   99.94	  765.25	656252.96	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	 4512855	   35487	     795	  100.00	  100.00	  100.00	  100.00	 5687.38	4407500.91	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	 4321783	   37155	     831	  100.00	  100.00	  100.00	  100.00	 5209.11	4211582.54	1.0e-26
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	 1330487	   25176	     549	   99.64	  100.00	   99.64	  100.00	 2452.53	1256828.98	1.0e-26
CARD|ANZ79240.1 tetA(60) [uncultured bacterium]	   25954	   80703	    1740	   91.72	  100.00	   91.72	  100.00	   19.45	28103.83	1.0e-26
