#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	  110185	   22555	    2637	   82.40	   93.14	   88.48	  107.37	   57.03	57849.45	1.0e-26
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  399354	   12539	    1486	   77.99	   90.11	   86.56	  110.98	  398.42	363262.85	1.0e-26
CARD|BAJ09383.1 qacA [Staphylococcus aureus]	  107864	   13210	    1545	   99.94	  100.00	   99.94	  100.00	   70.25	73997.36	1.0e-26
CARD|AAM09852.1 vanXD [Enterococcus faecium]	    3727	    5229	     609	   70.77	   80.95	   87.42	  123.53	    9.06	  252.18	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  387931	   12909	    1529	   79.73	   92.22	   86.45	  108.44	  406.98	350866.51	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 3025964	   21581	    2904	   97.14	   99.93	   97.21	  100.07	 1157.46	2961831.61	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 3537368	   21168	    2926	   92.00	   99.66	   92.32	  100.34	 1631.86	3474365.53	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  124050	   12850	    1504	   79.12	   90.29	   87.63	  110.75	  140.88	90323.03	1.0e-26
CARD|YP_039997.1 Staphylococcus aureus rpoC conferring resistance to daptomycin [Staphylococcus aureus subsp. aureus MRSA252]	   34549	   31114	    3624	   78.20	   90.07	   86.83	  111.03	   14.76	  179.59	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  123553	   14766	    1728	   87.09	   96.70	   90.07	  103.41	   96.28	85559.76	1.0e-26
CARD|AAQ10694.1 qacB [Staphylococcus aureus]	   29316	   13257	    1545	   95.21	   95.66	   99.53	  104.53	   19.19	 6057.14	1.0e-26
CARD|AAO04716.1 dfrC [Staphylococcus epidermidis ATCC 12228]	   18407	    4170	     486	   98.97	  100.00	   98.97	  100.00	   40.17	 8976.69	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	   63578	   27005	    3150	   77.08	   89.90	   85.73	  111.23	   33.10	14766.29	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	   15602	   10482	    1221	   99.59	  100.00	   99.59	  100.00	   12.93	 1004.80	1.0e-26
CARD|CAC41371.2 tet32 [Clostridiaceae bacterium K10]	  106515	   16420	    1920	   94.74	   96.93	   97.74	  103.17	   59.57	66026.19	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 3336289	   21234	    2904	   84.37	   95.42	   88.42	  104.80	 1606.95	3273123.48	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  511865	   12903	    1537	   81.00	   93.69	   86.46	  106.74	  505.37	474423.84	1.0e-26
CARD|AAY32951.1 lnuC [Streptococcus agalactiae]	    1893	    4251	     495	   88.48	   88.69	   99.77	  112.76	    3.86	  905.02	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	  575978	   12907	    1542	   94.68	   99.55	   95.11	  100.46	  467.70	538387.49	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	    8485	    6826	     795	  100.00	  100.00	  100.00	  100.00	   10.68	  179.70	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	    3307	    7137	     831	   95.67	   95.67	  100.00	  104.53	    4.04	 1404.60	1.0e-26
CARD|CDO61513.1 efrA [Enterococcus faecium]	    8556	   12513	    1457	   98.56	   99.79	   98.76	  100.21	    6.11	  743.39	1.0e-26
CARD|AAO82601.1 Enterococcus faecalis liaF mutant conferring daptomycin resistance [Enterococcus faecalis V583]	    5107	    6286	     732	   99.59	  100.00	   99.59	  100.00	    7.09	  122.03	1.0e-26
CARD|AAA88675.1 ErmF [Bacteroides fragilis]	    4235	    6879	     801	   96.25	   97.13	   99.10	  102.96	    5.48	  629.04	1.0e-26
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	   56658	   10540	    1230	   92.20	   95.69	   96.35	  104.50	   52.87	31650.17	1.0e-26
CARD|AAG03357.1 ErmX [Corynebacterium striatum]	     721	    6545	     762	   73.23	   73.23	  100.00	  136.56	    0.95	 4668.26	1.0e-26
CARD|AAS68233.1 norA [Staphylococcus epidermidis]	   23967	    9989	    1164	   99.05	  100.00	   99.05	  100.00	   21.36	 5753.90	1.0e-26
