#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	 1318534	  160180	    2637	   80.96	   91.28	   88.70	  109.56	  674.55	907399.05	1.0e-26
CARD|AEI83430.1 SHV-137 [Klebsiella pneumoniae]	    6440	   52698	     861	   79.33	   79.56	   99.71	  125.69	    7.80	36184.07	1.0e-26
CARD|CAJ47136.2 SHV-81 [Klebsiella pneumoniae]	    7567	   52698	     861	   94.54	   94.77	   99.75	  105.51	    9.15	33798.01	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	37622463	  135821	    2904	   97.04	   99.93	   97.11	  100.07	14220.76	37216952.40	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	 1468263	  104828	    1728	   86.05	   95.31	   90.29	  104.92	 1120.14	1181720.89	1.0e-26
CARD|AAN04883.1 SHV-41 [Klebsiella pneumoniae]	   11029	   52697	     861	   88.62	   89.08	   99.48	  112.26	   13.34	27245.46	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	  870389	  191922	    3150	   73.08	   85.62	   85.35	  116.80	  438.10	433315.66	1.0e-26
CARD|AEK80394.1 SHV-140 [Klebsiella pneumoniae]	    4471	   52699	     861	   71.66	   72.01	   99.52	  138.87	    5.43	40685.17	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	   15437	  177873	    2904	   93.60	   97.28	   96.21	  102.80	    6.48	136493.76	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  681690	   84855	    1392	   71.41	   82.76	   86.28	  120.83	  737.26	464697.43	1.0e-26
CARD|AAL68926.1 SHV-35 [Klebsiella pneumoniae]	    7159	   52698	     861	   84.90	   85.25	   99.59	  117.30	    8.68	34646.55	1.0e-26
CARD|AAV66328.1 SHV-59 [Klebsiella pneumoniae]	   12606	   52696	     861	   97.33	   97.91	   99.41	  102.14	   15.39	24612.66	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	 4558386	   91704	    1542	   97.41	   99.94	   97.47	  100.06	 3297.88	4290507.85	1.0e-26
CARD|ADM25824.1 SHV-134 [Klebsiella pneumoniae]	    4434	   52699	     861	   77.82	   78.16	   99.55	  127.93	    5.42	40774.02	1.0e-26
CARD|ADE58494.1 SHV-128 [Enterobacter cloacae]	    2503	   52700	     861	   81.42	   81.88	   99.43	  122.13	    3.12	45645.17	1.0e-26
CARD|CAJ47134.2 SHV-79 [Klebsiella pneumoniae]	    1341	   52700	     861	   84.20	   84.32	   99.86	  118.60	    1.58	48810.70	1.0e-26
CARD|ABA06587.1 SHV-65 [Klebsiella pneumoniae]	   10580	   52697	     861	   72.82	   73.17	   99.52	  136.67	   12.93	28033.44	1.0e-26
CARD|AJO16042.1 SHV-182 [Klebsiella pneumoniae]	    2783	   52700	     861	   86.64	   86.99	   99.60	  114.95	    3.36	44909.49	1.0e-26
CARD|ABV72593.1 SHV-101 [Klebsiella pneumoniae]	    7084	   52698	     861	   78.51	   78.75	   99.71	  126.99	    8.58	34804.39	1.0e-26
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	  611606	   75008	    1230	   96.26	   99.92	   96.34	  100.08	  564.23	419357.60	1.0e-26
CARD|AAG49894.1 SHV-29 [Klebsiella pneumoniae]	   13419	   52696	     861	   95.47	   96.05	   99.40	  104.11	   16.14	23333.82	1.0e-26
CARD|AAP33454.2 SHV-31 [Klebsiella pneumoniae]	   12595	   52696	     861	   93.26	   93.50	   99.75	  106.96	   15.32	24630.32	1.0e-26
CARD|AFQ23959.1 SHV-153 [Klebsiella pneumoniae]	    7833	   52514	     858	   77.51	   77.62	   99.85	  128.83	    9.57	33082.59	1.0e-26
CARD|AHA80958.1 SHV-172 [Klebsiella pneumoniae]	 4511506	   51206	     861	   99.65	  100.00	   99.65	  100.00	 5248.44	4360185.21	1.0e-26
CARD|ABA06590.1 SHV-69 [Klebsiella pneumoniae]	   10680	   52697	     861	   96.63	   97.21	   99.40	  102.87	   12.94	27856.42	1.0e-26
