Template,Function,Genome,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,shotgunReadcount,RelavantPercentInVF,PercentageInShotgun,SampleID
VFG005197,"Fibronectin-binding protein-like protein A",Streptococcus pneumoniae R6,12915,114,1683,89.54,100.06,89.49,99.94,12.03,12574.13,1e-26,39653846,0.0754610166964136,6.98697207122939e-06,1042A
VFG001359,"manganese ABC transporter, manganese-binding adhesion liprotein",Streptococcus pneumoniae TIGR4,10837,64,930,86.67,99.68,86.95,100.32,19,10646.49,1e-26,39653846,0.0656080287456638,6.07467914643342e-06,1042A
VFG045349,"adhesin FdeC",Escherichia coli O45:K1:H7 str. S88,14826,288,4251,90.71,95.7,94.79,104.5,4.12,13982.35,1e-26,39653846,0.0624327793598917,5.78068126847172e-06,1042A
VFG000929,"phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex",Escherichia coli CFT073,10591,53,771,95.07,100,95.07,100,20.09,10432.74,1e-26,39653846,0.0576961355212059,5.34211312214788e-06,1042A
VFG000930,"enterobactin synthase multienzyme complex component, ATP-dependent",Escherichia coli CFT073,13390,264,3882,90.98,94.77,96,105.52,3.87,12615.9,1e-26,39653846,0.053033438609956,4.91039175763758e-06,1042A
VFG000906,"Hemolysin A",Escherichia coli CFT073,12215,210,3075,99.15,99.74,99.41,100.26,4.04,11597.24,1e-26,39653846,0.0461538845585161,4.27341051720051e-06,1042A
VFG000907,"Hemolysin B",Escherichia coli CFT073,10160,146,2124,97.79,98.4,99.38,101.63,4.89,9728.59,1e-26,39653846,0.0380689484082924,3.52482236463762e-06,1042A
VFG034772,"Type III secretion system effector EspL4",Escherichia coli O157:H7 str. EDL933,8904,151,2187,97.35,100,97.35,100,4.46,8459.3,1e-26,39653846,0.0363325644067683,3.36404972924646e-06,1042A
VFG002415,"E. coli common pilus usher EcpC",Escherichia coli O157:H7 str. EDL933,9236,174,2526,97.94,99.17,98.76,100.84,3.8,8724.23,1e-26,39653846,0.0354576269443878,3.28303884599375e-06,1042A
VFG000876,"Outer membrane usher protein fimD precursor",Escherichia coli CFT073,9098,182,2637,96.74,98.14,98.57,101.89,3.62,8564.26,1e-26,39653846,0.0348961218192607,3.23104881459914e-06,1042A
VFG034866,"Type III secretion system effector EspX4",Escherichia coli O157:H7 str. EDL933,6143,110,1581,93.36,101.01,92.42,99,4.94,5818.79,1e-26,39653846,0.0293856702121888,2.72083343235261e-06,1042A
