#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002165 endocarditis specific antigen [Enterococcus faecalis V583]	    1738	    9343	     927	   89.21	   89.43	   99.76	  111.82	    1.88	 5219.87	1.0e-26
VFDB|VFG002166 collagen adhesin protein [Enterococcus faecalis V583]	    4549	   20414	    2025	   73.19	   74.81	   97.82	  133.66	    2.40	10083.56	1.0e-26
VFDB|VFG002174 coccolysin [Enterococcus faecalis V583]	    2268	   15453	    1533	   77.56	   78.21	   99.17	  127.86	    1.52	 9810.77	1.0e-26
VFDB|VFG002180 ABC transporter, permease protein [Enterococcus faecalis V583]	    2046	    8194	     813	   90.41	   91.88	   98.39	  108.84	    2.61	 3691.37	1.0e-26
VFDB|VFG002182 UDP-galactopyranose mutase [Enterococcus faecalis V583]	    1712	   11491	    1140	   75.79	   76.14	   99.54	  131.34	    1.53	 7243.01	1.0e-26
VFDB|VFG002183 lipoprotein [Enterococcus faecalis V583]	     737	    4021	     399	   94.99	   95.49	   99.48	  104.72	    1.88	 2266.84	1.0e-26
VFDB|VFG002184 MurB family protein [Enterococcus faecalis V583]	    4361	   24742	    2454	   82.36	   82.56	   99.75	  121.13	    1.80	14273.39	1.0e-26
VFDB|VFG002186 glycosyl transferase, group 2 family protein [Enterococcus faecalis V583]	    5236	   25317	    2511	   88.13	   88.97	   99.06	  112.40	    2.15	13198.28	1.0e-26
VFDB|VFG002187 glycosyl transferase, group 2 family protein [Enterococcus faecalis V583]	    2742	   14788	    1467	   87.32	   88.21	   99.00	  113.37	    1.92	 8277.59	1.0e-26
VFDB|VFG002188 teichoic acid biosynthesis protein, putative [Enterococcus faecalis V583]	    1329	   11793	    1170	   70.00	   70.34	   99.51	  142.16	    1.15	 8345.03	1.0e-26
VFDB|VFG002189 phosphatidate cytidylyltransferase [Enterococcus faecalis V583]	    2046	    8073	     801	   71.91	   72.91	   98.63	  137.16	    2.74	 3589.94	1.0e-26
VFDB|VFG002190 undecaprenyl diphosphate synthase [Enterococcus faecalis V583]	   13034	    8222	     816	   86.03	   87.62	   98.18	  114.13	   22.20	 1089.26	1.0e-26
VFDB|VFG002191 serine proteinase, V8 family [Enterococcus faecalis V583]	    2169	    8617	     855	   98.01	   99.18	   98.82	  100.83	    2.61	 3855.18	1.0e-26
VFDB|VFG002192 histidine kinase, putative [Enterococcus faecalis V583]	    2988	   13547	    1344	   91.96	   92.78	   99.12	  107.78	    2.28	 6743.34	1.0e-26
