#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	  189360	   32282	    3228	   82.25	   89.93	   91.46	  111.20	   73.51	111320.69	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	   30072	    9784	     975	   86.15	   86.15	  100.00	  116.07	   30.95	10327.18	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	  196706	   21651	    2166	  100.00	  100.00	  100.00	  100.00	   91.01	140338.22	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	   98205	   19870	    1983	   98.29	   98.29	  100.00	  101.74	   49.73	51969.26	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	  501303	   32030	    3228	   99.01	  100.00	   99.01	  100.00	  167.83	412906.27	1.0e-26
VFDB|VFG000863 heat-stable enterotoxin 1 [Escherichia coli O44:H18 042]	   24592	    1173	     117	   91.45	  100.00	   91.45	  100.00	  278.08	21283.98	1.0e-26
VFDB|VFG000871 Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073]	  210787	    6023	     603	   97.84	  100.00	   97.84	  100.00	  375.67	193386.57	1.0e-26
VFDB|VFG000872 Type 1 fimbriae Regulatory protein fimE [Escherichia coli CFT073]	  238190	    5959	     597	   98.99	  100.00	   98.99	  100.00	  411.55	220894.14	1.0e-26
VFDB|VFG000873 Type-1 fimbrial protein, A chain precursor [Escherichia coli CFT073]	  136556	    6064	     606	   90.26	  100.00	   90.26	  100.00	  290.27	119394.07	1.0e-26
VFDB|VFG000874 Fimbrin-like protein fimI precursor [Escherichia coli CFT073]	  233481	    5390	     540	   98.89	  100.00	   98.89	  100.00	  447.18	217795.20	1.0e-26
VFDB|VFG000875 Chaperone protein fimC precursor [Escherichia coli CFT073]	  259948	    7243	     726	   98.35	  100.00	   98.35	  100.00	  375.41	239003.87	1.0e-26
VFDB|VFG000876 Outer membrane usher protein fimD precursor [Escherichia coli CFT073]	 1195573	   25704	    2637	   98.56	  100.00	   98.56	  100.00	  474.15	1120624.07	1.0e-26
VFDB|VFG000877 FimF protein precursor [Escherichia coli CFT073]	  184092	    5337	     534	   97.38	  100.00	   97.38	  100.00	  375.67	168681.08	1.0e-26
VFDB|VFG000878 FimG protein precursor [Escherichia coli CFT073]	  219744	    5033	     504	   98.41	  100.00	   98.41	  100.00	  459.40	205095.47	1.0e-26
VFDB|VFG000879 FimH protein precursor [Escherichia coli CFT073]	  379521	    9072	     912	   97.26	  100.00	   97.26	  100.00	  453.10	353152.10	1.0e-26
VFDB|VFG000923 ferrienterobactin outer membrane transporter [Escherichia coli CFT073]	  857460	   22031	    2241	   96.74	  100.00	   96.74	  100.00	  439.65	793572.71	1.0e-26
VFDB|VFG000924 ferrienterobactin ABC transporter periplasmic binding protein [Escherichia coli CFT073]	  438878	    9505	     957	   97.49	  100.00	   97.49	  100.00	  510.25	411167.37	1.0e-26
VFDB|VFG000925 ferrienterobactin ABC transporter ATPase [Escherichia coli CFT073]	  333374	    8126	     816	   97.30	  100.00	   97.30	  100.00	  463.02	309768.60	1.0e-26
VFDB|VFG000926 ferrienterobactin ABC transporter permease [Escherichia coli CFT073]	  387388	   10114	    1017	   96.07	  100.00	   96.07	  100.00	  427.78	358073.21	1.0e-26
VFDB|VFG000928 iron-enterobactin ABC transporter permease [Escherichia coli CFT073]	  363620	    9881	     993	   93.96	  100.00	   93.96	  100.00	  446.62	335020.06	1.0e-26
VFDB|VFG000929 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	 1041924	    7541	     771	   95.20	  100.00	   95.20	  100.00	 1989.46	1019516.33	1.0e-26
VFDB|VFG000930 enterobactin synthase multienzyme complex component, ATP-dependent [Escherichia coli CFT073]	 1419727	   37634	    3882	   95.05	   99.33	   95.70	  100.67	  421.43	1310712.14	1.0e-26
VFDB|VFG000931 isochorismate synthase 1 [Escherichia coli CFT073]	  503341	   11781	    1188	   97.90	  100.00	   97.90	  100.00	  461.29	469074.22	1.0e-26
VFDB|VFG000932 2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	  681867	   15906	    1611	   95.16	  100.00	   95.16	  100.00	  514.15	635598.63	1.0e-26
VFDB|VFG000933 isochorismatase [Escherichia coli CFT073]	  427343	    8524	     858	   98.14	  100.00	   98.14	  100.00	  574.51	402436.40	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	  753514	   10258	    1041	   96.16	  100.00	   96.16	  100.00	  898.47	723290.44	1.0e-26
VFDB|VFG001444 putative arylsulfatase [Escherichia coli O18:K1:H7 str. RS218]	  477176	   14171	    1428	   93.63	  100.07	   93.56	   99.93	  407.57	436295.49	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	  331638	    6662	     669	   98.06	  100.00	   98.06	  100.00	  588.76	312175.59	1.0e-26
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	  179364	    5908	     591	   96.79	  100.00	   96.79	  100.00	  372.81	162393.54	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	  297060	    5860	     588	   99.15	  100.00	   99.15	  100.00	  566.45	279931.40	1.0e-26
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	 1386487	   24501	    2526	   98.77	  100.00	   98.77	  100.00	  620.21	1314685.72	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	  963360	   16116	    1644	   98.97	  100.00	   98.97	  100.00	  669.36	916071.30	1.0e-26
