#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	  110177	     434	    3228	   92.91	  100.25	   92.68	   99.75	   48.51	108878.88	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	    3338	     349	    2166	   81.99	   81.99	  100.00	  121.96	    1.55	 2421.59	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	  129421	     419	    3228	   91.67	  100.00	   91.67	  100.00	   56.56	128168.08	1.0e-26
VFDB|VFG000871 Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073]	    2767	      97	     603	   97.84	  100.00	   97.84	  100.00	    5.01	 2488.06	1.0e-26
VFDB|VFG000872 Type 1 fimbriae Regulatory protein fimE [Escherichia coli CFT073]	    3972	      96	     597	   98.99	  100.00	   98.99	  100.00	    6.88	 3692.37	1.0e-26
VFDB|VFG000873 Type-1 fimbrial protein, A chain precursor [Escherichia coli CFT073]	    3000	      97	     606	   91.09	  100.17	   90.94	   99.84	    6.59	 2718.82	1.0e-26
VFDB|VFG000874 Fimbrin-like protein fimI precursor [Escherichia coli CFT073]	    3111	      87	     540	   98.89	  100.00	   98.89	  100.00	    5.93	 2858.99	1.0e-26
VFDB|VFG000875 Chaperone protein fimC precursor [Escherichia coli CFT073]	    4151	     117	     726	   96.42	   97.66	   98.73	  102.40	    5.98	 3812.79	1.0e-26
VFDB|VFG000876 Outer membrane usher protein fimD precursor [Escherichia coli CFT073]	   13581	     419	    2637	   98.63	  100.00	   98.63	  100.00	    5.38	12374.13	1.0e-26
VFDB|VFG000877 FimF protein precursor [Escherichia coli CFT073]	    3100	      86	     534	   97.38	  100.00	   97.38	  100.00	    6.29	 2850.71	1.0e-26
VFDB|VFG000878 FimG protein precursor [Escherichia coli CFT073]	    2850	      81	     504	   98.41	  100.00	   98.41	  100.00	    5.92	 2614.86	1.0e-26
VFDB|VFG000879 FimH protein precursor [Escherichia coli CFT073]	    8361	     146	     912	   97.15	  100.00	   97.15	  100.00	    9.89	 7932.90	1.0e-26
VFDB|VFG000923 ferrienterobactin outer membrane transporter [Escherichia coli CFT073]	   14079	     355	    2241	   97.55	  100.00	   97.55	  100.00	    6.94	13046.75	1.0e-26
VFDB|VFG000924 ferrienterobactin ABC transporter periplasmic binding protein [Escherichia coli CFT073]	    6787	     153	     957	   97.39	  100.00	   97.39	  100.00	    7.73	 6339.72	1.0e-26
VFDB|VFG000925 ferrienterobactin ABC transporter ATPase [Escherichia coli CFT073]	    4571	     131	     816	   97.18	  100.00	   97.18	  100.00	    6.42	 4191.38	1.0e-26
VFDB|VFG000926 ferrienterobactin ABC transporter permease [Escherichia coli CFT073]	    8981	     162	    1017	   96.07	  100.00	   96.07	  100.00	    9.96	 8504.47	1.0e-26
VFDB|VFG000928 iron-enterobactin ABC transporter permease [Escherichia coli CFT073]	    6098	     159	     993	   93.86	  100.00	   93.86	  100.00	    7.39	 5635.54	1.0e-26
VFDB|VFG000929 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	   14808	     122	     771	   95.33	  100.00	   95.33	  100.00	   28.18	14445.35	1.0e-26
VFDB|VFG000930 enterobactin synthase multienzyme complex component, ATP-dependent [Escherichia coli CFT073]	   27647	     603	    3882	   95.23	   99.23	   95.98	  100.78	    8.34	25888.44	1.0e-26
VFDB|VFG000931 isochorismate synthase 1 [Escherichia coli CFT073]	   10658	     189	    1188	   97.64	  100.00	   97.64	  100.00	    9.81	10102.54	1.0e-26
VFDB|VFG000932 2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	   12452	     256	    1611	   95.65	  100.00	   95.65	  100.00	    8.91	11703.57	1.0e-26
