#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   22702	   13261	    1486	   84.05	   95.09	   88.39	  105.17	   25.11	 2478.33	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	   88164	   13606	    1529	   86.92	   96.14	   90.41	  104.01	   91.79	54620.85	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  482775	   11256	    1287	  100.00	  100.00	  100.00	  100.00	  376.70	450031.21	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	 1032936	    7782	     912	  100.00	  100.00	  100.00	  100.00	 1138.04	1009821.34	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 1527292	   24431	    2926	   88.52	   97.64	   90.65	  102.42	  699.49	1455537.09	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	   35755	   13414	    1504	   76.66	   87.23	   87.88	  114.63	   35.75	10150.70	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	 1313258	    8695	    1032	   99.90	  100.00	   99.90	  100.00	 1282.46	1287400.03	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	  384125	    4267	     486	  100.00	  100.00	  100.00	  100.00	  794.11	371508.99	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  168082	   13550	    1528	   81.74	   93.91	   87.04	  106.48	  157.98	131473.59	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 2227975	   23463	    2904	   91.32	  100.10	   91.23	   99.90	 1015.47	2158561.79	1.0e-26
