#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	 1388581	   22435	    3228	   87.89	   96.53	   91.05	  103.59	  541.55	1322702.55	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	  345669	    7026	     975	  100.00	  100.00	  100.00	  100.00	  355.56	325148.48	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	 1796669	   14828	    2166	  100.00	  100.00	  100.00	  100.00	  831.84	1752667.68	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	 1135275	   13903	    1983	   99.04	   99.09	   99.95	  100.92	  574.67	1094237.36	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	 3672494	   20590	    3228	   99.29	  100.00	   99.29	  100.00	 1228.39	3611181.24	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	   65221	    7575	    1041	   82.04	   94.91	   86.44	  105.36	   90.54	45647.58	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	   73729	    4866	     669	   87.59	  100.00	   87.59	  100.00	  171.77	60334.53	1.0e-26
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	   47548	    4302	     591	   77.33	   89.17	   86.72	  112.14	  129.55	36067.42	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	   69991	    4277	     588	   89.63	  100.00	   89.63	  100.00	  169.32	58143.08	1.0e-26
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	  199040	   18304	    2526	   86.14	   98.26	   87.67	  101.77	  118.87	150292.55	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	  181600	   11917	    1644	   86.86	   97.69	   88.92	  102.37	  157.27	148782.53	1.0e-26
VFDB|VFG002417 E. coli common pilus chaperone EcpE [Escherichia coli O157:H7 str. EDL933]	   58656	    5502	     756	   82.41	   95.50	   86.29	  104.71	  123.31	44036.28	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  167682	    4611	     636	   99.69	  100.00	   99.69	  100.00	  267.40	154341.01	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  253705	    7201	     996	   99.90	  100.00	   99.90	  100.00	  256.70	232896.65	1.0e-26
