#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	 1456712	   11678	    3228	   88.72	   97.43	   91.07	  102.64	  568.83	1422048.67	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	  382711	    3787	     975	  100.00	  100.00	  100.00	  100.00	  394.08	371497.83	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	 1952665	    7565	    2166	  100.00	  100.00	  100.00	  100.00	  905.08	1930085.57	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	 1256461	    7271	    1983	   98.84	   98.84	  100.00	  101.17	  636.55	1234814.76	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	 3824297	    9766	    3228	   99.10	  100.00	   99.10	  100.00	 1282.39	3795097.72	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	   13509	    4139	    1041	   80.21	   92.89	   86.35	  107.65	   18.73	 4973.90	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	   14328	    2660	     669	   87.59	  100.00	   87.59	  100.00	   32.86	 8013.98	1.0e-26
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	    9905	    2350	     591	   77.33	   89.34	   86.55	  111.93	   27.29	 4656.73	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	   16553	    2337	     588	   89.63	  100.00	   89.63	  100.00	   40.70	10697.29	1.0e-26
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	   44671	   10029	    2526	   86.10	   98.22	   87.67	  101.81	   26.65	21938.81	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	   41112	    6527	    1644	   86.80	   97.63	   88.91	  102.43	   35.59	25107.41	1.0e-26
VFDB|VFG002417 E. coli common pilus chaperone EcpE [Escherichia coli O157:H7 str. EDL933]	   11135	    3006	     756	   82.28	   95.24	   86.39	  105.00	   23.56	 4672.07	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   32743	    2525	     636	   99.69	  100.00	   99.69	  100.00	   52.23	25888.99	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   48490	    3952	     996	   99.90	  100.00	   99.90	  100.00	   49.04	37825.21	1.0e-26
VFDB|VFG043625 fimbrial biogenesis outer membrane usher protein mrkC precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  146165	    9811	    2487	   99.60	  100.00	   99.60	  100.00	   59.75	119200.25	1.0e-26
VFDB|VFG043626 fimbrial chaperone protein mrkB precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   49797	    2785	     702	  100.00	  100.00	  100.00	  100.00	   71.29	42031.94	1.0e-26
