#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  511599	   11455	    1486	   82.84	   93.41	   88.69	  107.06	  521.79	478237.14	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	  297213	   12014	    1542	   89.95	   98.12	   91.67	  101.92	  296.23	263037.28	1.0e-26
CARD|AKA86814 optrA [Enterococcus faecalis]	   34769	   15534	    1968	   99.75	  100.00	   99.75	  100.00	   17.83	 7354.47	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  292362	   11915	    1529	   87.25	  100.00	   87.25	  100.00	  299.89	258481.15	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	    1471	    7207	     912	   77.63	   77.63	  100.00	  128.81	    1.61	 3792.08	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	   36533	   22929	    2904	   97.25	  100.07	   97.18	   99.93	   16.26	 3112.14	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 3428549	   19281	    2926	   81.13	   91.97	   88.22	  108.73	 1616.02	3371135.31	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  139770	   11809	    1504	   84.38	   94.48	   89.30	  105.84	  154.86	108022.58	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	    1161	    8156	    1032	   70.35	   70.45	   99.86	  141.95	    1.13	 5252.32	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	   38171	   13613	    1725	   95.19	  100.00	   95.19	  100.00	   25.64	11646.32	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    2453	   13660	    1728	   78.70	   79.11	   99.49	  126.41	    1.46	 7795.19	1.0e-26
CARD|CBH51823.1 tet44 [Campylobacter fetus subsp. fetus]	    2922	   15202	    1923	   70.15	   70.83	   99.05	  141.19	    1.57	 8321.11	1.0e-26
