#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	   96535	   29919	    2637	   87.75	   98.56	   89.03	  101.46	   51.56	35092.45	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  142702	   17313	    1529	   79.92	   91.56	   87.29	  109.21	  153.93	98254.44	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  490784	   14399	    1287	  100.00	  100.00	  100.00	  100.00	  382.54	449227.00	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	  347498	   10252	     912	   99.89	   99.89	  100.00	  100.11	  383.29	317915.19	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 2861140	   29861	    2904	   96.45	  100.10	   96.35	   99.90	 1118.99	2772790.51	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 2335425	   30679	    2926	   83.01	   91.97	   90.26	  108.73	 1078.97	2244976.64	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	 1312951	   11218	    1032	   99.90	  100.00	   99.90	  100.00	 1280.65	1279674.46	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  105990	   19592	    1728	   84.43	   93.23	   90.56	  107.26	   82.28	59438.48	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	  140003	    5501	     486	  100.00	  100.00	  100.00	  100.00	  289.59	124330.51	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	   37884	   35818	    3150	   70.32	   83.46	   84.25	  119.82	   20.79	   57.89	1.0e-13
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	   61430	    5652	     498	  100.00	  100.00	  100.00	  100.00	  124.31	46377.82	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 3748584	   28868	    2904	   91.53	  100.24	   91.31	   99.76	 1699.37	3662860.30	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	  187258	   17434	    1542	   81.91	   84.05	   97.45	  118.98	  154.88	140894.44	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	 1048017	    8722	     795	  100.00	  100.00	  100.00	  100.00	 1322.23	1022136.83	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	  567004	    9271	     831	  100.00	  100.00	  100.00	  100.00	  684.48	539785.78	1.0e-26
CARD|CDJ73082 Escherichia coli CyaA with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   29172	   28963	    2547	   75.38	   88.22	   85.45	  113.35	   19.14	    0.75	3.9e-01
CARD|AAA88675.1 ErmF [Bacteroides fragilis]	  132955	    9070	     801	   99.88	  100.00	   99.88	  100.00	  168.05	108060.46	1.0e-26
