#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	    1330	     197	     975	   74.77	   74.77	  100.00	  133.74	    1.36	  840.59	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	    6233	     435	    2166	   98.71	   98.71	  100.00	  101.31	    2.88	 5041.02	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	    6690	     398	    1983	   95.61	   95.61	  100.00	  104.59	    3.39	 5584.92	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	    6875	     648	    3228	   89.65	   91.98	   97.47	  108.72	    2.41	 5153.72	1.0e-26
VFDB|VFG000916 heme oxygenase ChuS [Escherichia coli CFT073]	    6825	     206	    1029	   93.78	   95.63	   98.07	  104.57	    6.83	 6229.65	1.0e-26
VFDB|VFG000917 Outer membrane heme/hemoglobin receptor ChuA [Escherichia coli CFT073]	   16284	     386	    1947	   97.74	   99.02	   98.70	  100.99	    8.65	15160.96	1.0e-26
VFDB|VFG000918 periplasmic heme-binding protein ChuT [Escherichia coli CFT073]	   11047	     198	     993	   99.40	  100.00	   99.40	  100.00	   11.35	10466.19	1.0e-26
VFDB|VFG000919 Putative oxygen independent coproporphyrinogen III oxidase [Escherichia coli CFT073]	   15452	     265	    1338	   97.91	  100.00	   97.91	  100.00	   12.17	14672.88	1.0e-26
VFDB|VFG000920 putative heme-binding protein ChuX [Escherichia coli CFT073]	    2605	      99	     495	   81.01	   84.85	   95.48	  117.86	    5.84	 2320.16	1.0e-26
VFDB|VFG000921 ChuY [Escherichia coli CFT073]	    7304	     125	     624	   95.99	   99.68	   96.30	  100.32	   12.79	 6936.95	1.0e-26
VFDB|VFG000922 heme permease protein ChuU [Escherichia coli CFT073]	    4810	     199	     993	   80.87	   81.27	   99.50	  123.05	    4.93	 4242.44	1.0e-26
VFDB|VFG000923 ferrienterobactin outer membrane transporter [Escherichia coli CFT073]	   19456	     442	    2241	   97.90	  100.00	   97.90	  100.00	    9.23	18166.83	1.0e-26
VFDB|VFG000924 ferrienterobactin ABC transporter periplasmic binding protein [Escherichia coli CFT073]	    8943	     191	     957	   98.22	  100.00	   98.22	  100.00	    9.91	 8384.34	1.0e-26
VFDB|VFG000925 ferrienterobactin ABC transporter ATPase [Escherichia coli CFT073]	    6298	     163	     816	   97.67	  100.00	   97.67	  100.00	    8.26	 5822.97	1.0e-26
VFDB|VFG000926 ferrienterobactin ABC transporter permease [Escherichia coli CFT073]	    7003	     204	    1017	   96.46	  100.00	   96.46	  100.00	    7.76	 6413.86	1.0e-26
VFDB|VFG000928 iron-enterobactin ABC transporter permease [Escherichia coli CFT073]	    6987	     199	     993	   88.02	   92.15	   95.52	  108.52	    8.10	 6411.29	1.0e-26
VFDB|VFG000929 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	    8548	     154	     771	   90.14	   95.46	   94.43	  104.76	   15.20	 8095.73	1.0e-26
