#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	 1357197	   30692	    1486	   84.39	   96.16	   87.75	  103.99	 1290.21	1267834.78	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  863548	   31871	    1529	   84.76	   95.68	   88.59	  104.51	  866.70	772471.11	1.0e-26
CARD|ABA71732.1 vanXYG [Enterococcus faecalis]	    2456	   16194	     765	   95.42	  100.00	   95.42	  100.00	    3.81	10120.60	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	  355642	   61132	    2904	   95.80	  100.03	   95.77	   99.97	  182.18	208111.22	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 7318020	   53752	    2926	   80.08	   90.19	   88.78	  110.88	 3379.74	7158330.97	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  328289	   31659	    1504	   82.71	   93.95	   88.04	  106.44	  352.99	244448.00	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	    1127	   25281	    1194	   75.88	   76.80	   98.80	  130.21	    0.98	22092.99	1.0e-26
CARD|CAA52904.1 catS [Streptococcus pyogenes]	    1146	   10414	     492	   92.28	   93.29	   98.91	  107.19	    2.46	 7431.13	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	    9206	   36527	    1725	   93.68	   98.38	   95.23	  101.65	    6.21	16321.66	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    2542	   36595	    1728	   72.80	   73.61	   98.90	  135.85	    1.54	29629.46	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	    2314	   31064	    1467	   76.82	   78.39	   98.00	  127.57	    1.67	24764.34	1.0e-26
CARD|CBH51823.1 tet44 [Campylobacter fetus subsp. fetus]	   33908	   40704	    1923	   98.65	  100.00	   98.65	  100.00	   18.29	  619.10	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	 3005809	   30590	    1528	   85.27	   95.88	   88.94	  104.30	 2707.52	2915269.01	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	   16376	   25846	    1221	  100.00	  100.00	  100.00	  100.00	   13.57	 2124.19	1.0e-26
CARD|CAC41371.2 tet32 [Clostridiaceae bacterium K10]	   20507	   40650	    1920	   78.39	   80.47	   97.41	  124.27	   11.56	 6634.89	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	22584075	   36277	    2904	   95.83	   99.97	   95.87	  100.03	 9347.62	22475476.26	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    1991	   29475	    1392	   71.26	   73.13	   97.45	  136.74	    1.59	24006.72	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  926887	   32000	    1537	   82.04	   94.47	   86.85	  105.85	  934.89	835156.06	1.0e-26
CARD|AAY32951.1 lnuC [Streptococcus agalactiae]	  140454	   10451	     495	   94.95	  100.00	   94.95	  100.00	  328.60	111994.39	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	 1889548	   31533	    1542	   91.18	   99.74	   91.42	  100.26	 1670.22	1797017.02	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	   20134	   16824	     795	  100.00	  100.00	  100.00	  100.00	   25.39	  296.29	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	    3389	   17592	     831	   78.82	   78.82	  100.00	  126.87	    4.08	 9614.94	1.0e-26
CARD|AAA88675.1 ErmF [Bacteroides fragilis]	  184175	   16901	     801	   99.75	  100.00	   99.75	  100.00	  232.66	139153.61	1.0e-26
CARD|AET10445.1 tetB(46) [Streptococcus australis]	    8988	   36781	    1737	   95.11	  100.12	   95.00	   99.88	    6.09	16877.54	1.0e-26
CARD|YP_490697.1 acrD [Escherichia coli str. K-12 substr. W3110]	    5494	   65978	    3114	   79.16	   80.15	   98.76	  124.76	    1.85	51186.21	1.0e-26
CARD|AAG03357.1 ErmX [Corynebacterium striatum]	   20739	   16126	     762	  100.00	  100.13	   99.87	   99.87	   27.70	  577.22	1.0e-26
CARD|BAE78083.1 mdtO [Escherichia coli str. K-12 substr. W3110]	    3450	   43461	    2052	   82.65	   85.43	   96.75	  117.06	    1.88	34126.20	1.0e-26
CARD|AEA37904.1 lsaC [Streptococcus agalactiae]	   10163	   31314	    1479	   99.66	  100.00	   99.66	  100.00	    7.12	10786.19	1.0e-26
