#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   17074	   60171	    1486	   76.85	   87.95	   87.38	  113.70	   18.15	24045.32	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  239938	   61782	    1529	   82.93	   94.64	   87.63	  105.67	  270.84	105194.62	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	 3014992	   50624	    1287	  100.00	  100.00	  100.00	  100.00	 2347.54	2866461.67	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	 4606413	   35310	     912	  100.00	  100.00	  100.00	  100.00	 5061.64	4501556.36	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	    4920	  117667	    2904	   79.92	   81.96	   97.52	  122.02	    2.01	103697.12	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 8989393	  108437	    2926	   82.02	   90.67	   90.46	  110.29	 4089.34	8669251.69	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	 5019821	   39794	    1032	   99.90	  100.00	   99.90	  100.00	 4890.54	4901690.49	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	 1987169	   19303	     486	  100.00	  100.00	  100.00	  100.00	 4096.96	1930001.86	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  760224	   61436	    1528	   73.63	   84.55	   87.07	  118.27	  712.68	594290.10	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	  881926	   19991	     498	  100.00	  100.00	  100.00	  100.00	 1774.97	823723.19	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	12518974	  103674	    2904	   91.74	  100.24	   91.51	   99.76	 5564.55	12211357.91	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	 4135637	   30923	     795	  100.00	  100.00	  100.00	  100.00	 5213.86	4043785.93	1.0e-26
